0,1,2
BWDJELKX,5189975,152
AAEHTYTG,9709368,127
JRXJTRNH,7210313,10
NWZNDONRAV,820151,6
MZWTOBGGF,7398749,45
JGBNQCT,5508628,63
IXOFNPH,3731463,20
NBPQCXV,8279276,109
TUISQQVQ,6863391,191
JLEIQPGSY,4627877,117
BODGZKJN,712277,31
QFGPS,6395177,129
FEBIC,930269,20
IHVKOTCJ,4219421,138
TROYGSDP,9062907,99
ITBSCRDJ,3392515,90
PEE,5891609,35
UCUFX,8472509,24
VVEEF,6743667,27
WKZUSJ,3376049,175
TMO,961086,1
DCF,2628307,59
JQTHNJ,1368687,184
UZHTTFG,2957327,75
XCZZPU,6198346,163
IDKHOXXZKL,7462829,195
DMCQCD,955215,27
IAOGCI,5685396,118
GES,7512492,198
AUZKCEK,9309770,147
ANTNR,8468973,115
LAA,4540073,112
VLFPIIQUFP,6267949,61
ZTYIBTLJYF,4828479,34
PBQMDTPR,1916257,25
WBJKNR,3177941,12
XJCBBVTCSY,2760604,91
VLFXLG,2415556,98
KSHKRRMS,1593606,23
BOPV,714311,6
OAFZLM,1179630,143
PHNSZDZGU,9244637,44
ILMONJ,4304489,1
ZCFW,1945897,5
HPZAQCAEH,1156158,150
ECYCPTJF,6577777,108
XNWXO,7576348,22
XGMDA,1297422,139
DWWLK,8069890,127
ADKVKRH,3008520,168
KVBHPDAB,637835,159
MOIMXUNPU,5231301,178
IFICGC,5740835,58
LQSFBY,9859718,112
RCZ,7236037,77
YNKGLR,1697250,95
ALUEHIAU,8711993,43
GHSVIHJ,8570786,143
TSLYXO,2771823,141
UTQR,2793394,86
ZPSIFYU,6421602,84
BJZICKV,2827906,96
JEUICH,5943648,118
OZE,3594903,165
OPYSGNPI,9154901,33
WVI,3863622,175
MTW,146837,18
XFBMHL,7900379,116
SXHEKAH,3442636,91
BQDXNWID,5200343,13
BZMHLPLOHI,717285,99
BUQUHU,2197760,65
ALZRK,5352138,103
ICCKWPA,9878854,174
DTMDMLRCLO,4155443,17
NLSLMCBJSZ,7650345,103
JSYX,3119416,49
BSDJNJG,5039621,29
WLJCW,7087637,14
YJFTAM,6885370,90
FNLYJZP,7660585,128
KKFYUMUAPC,714856,48
QQQYBUAR,6407569,13
IQESNDAOL,3504272,48
KCLDD,1744160,90
MXAGPJJHP,9737777,179
FFMBEZ,206725,81
QRS,8554425,53
THANZD,4655922,38
RHULOT,9070450,187
IQJEVJ,5327909,160
QXEQZARPA,3301503,45
FMLGFNI,6166234,184
OYOWOWEPUT,9162682,15
AQUL,9755252,159
DHMGD,4765678,152
QFGUEXKPWE,7257448,7
LDNBLLVZL,9379144,51
BUSZUOYKV,2923518,104
HBUDYXG,4405110,116
QNJRDBYI,5395055,139
RAQQP,4292988,107
DBXQKLUMI,8372944,114
AYH,2057630,61
EYURXNGKW,6163288,200
HBHJ,8196480,44
CVD,8174003,75
TYHDJJVE,7854196,176
IWRP,3154706,96
UQQFTK,6393621,157
VSG,4532798,73
ISESMS,672863,9
ROQNVY,7354412,50
SMMYVPJEQ,7570659,52
CQECL,8437642,26
WKMVBI,5837705,148
NZO,6033816,47
BWAWDCSYXF,8166490,48
NDGDD,224923,157
SKERVXLAJJ,302208,71
BLDDDK,8380381,105
FCENGR,8897446,42
IADF,1158422,128
GNB,3424130,80
MFZOY,3861265,128
ZCV,4314462,69
ZSSWJ,507335,12
LWMFY,5659485,187
XMPJZ,9588757,176
LMUMCBNOLV,8973723,83
PXKIQAXYH,9231433,140
EZV,4895714,9
JYMN,650541,185
PGT,8293142,27
ROILYIZG,8638872,135
WFOCZTQYDY,3436250,22
HNYAGT,8521543,91
JBIYA,9860959,172
KFPOHYOGLQ,9954362,182
PRREAA,1146149,124
JLJGRHUHD,4294100,114
DKZ,8518554,12
JVS,925070,119
XRGHW,9239411,81
THQDAWSFID,4401892,110
GPMWOEMBD,2264583,60
ASYTWT,4835743,185
IAM,1011064,126
NGMDPRSBU,1054299,99
STJJKG,6288601,75
MDGEEGCWNA,1498434,147
GZPTIFW,6306438,120
TVIBKBUE,9567086,173
OYEVK,2403769,32
VLLKI,9956897,55
XGFU,8871192,118
KWXMVSRKZU,8696203,52
RYZEV,7950962,53
LYKANQ,2477593,156
KGPVT,3126792,182
ZFWNFYMGAQ,4403542,77
QQIIMOGEM,3682227,41
OFVGLUHJ,6110439,173
PHPID,2703370,168
VWZGN,1541232,181
RXR,513584,21
CCZ,6965701,6
WQQNZEXN,6745376,158
IWXZXZ,2316723,18
RZUSJPWSDY,7988855,186
ZJRSFV,4465532,27
OSZDNYIOXQ,6540070,126
ULQSRCE,8422891,21
DNLEMP,4432904,172
TQVQVHMJX,4320353,17
CDVGIP,4873195,105
DSGAUST,6355759,70
EXSVPGFF,8379597,180
XPKRMNMBKH,1270576,11
ZYNVM,895826,159
SRQNBPR,326410,160
PTTX,8459408,173
EWPMUUCS,2177092,144
TFQJZIZ,3275378,73
FXWXA,5644955,90
SSR,381635,8
SGUUTXXPL,6009725,197
NACJEJ,9668131,159
IVECGAQDI,8094203,154
YRQUONDQ,8680110,106
ILCPEW,4105381,153
WRVZAXUM,6057344,77
GSX,5016138,89
WEDAM,8201318,132
QOGEMRYU,316721,109
ENKBEOVHYS,3798289,1
QYNWH,7803586,119
ZOPXLUYM,1608612,83
BMZKBI,5211709,71
HWQL,1776610,124
ZCC,3961568,76
ETJXWMU,4492645,94
KBPPGTH,5021405,154
ITE,9440047,151
BWPZNWXN,2471948,76
KIPUICX,2824103,41
GVAVBG,7669389,49
LFZPJ,2532282,74
NHBXVU,3410142,27
IDE,2987340,94
AQKTIVHT,8153125,27
GVZL,8960808,64
NHSX,6463834,90
UZHGHBD,9460924,137
RJPSR,663146,162
CXRBFS,1727373,149
DHMRDRC,5544354,92
KPTXYFQ,468179,119
EUSPPTTK,851700,19
YMPC,4935616,136
AHXFWU,3643657,35
VELRJFQ,294094,73
PCODCJMUQ,7097387,35
XCZTVU,5607858,180
JWUEGZMPT,170284,18
JVEIAHRP,1927013,30
BXMYF,1912749,154
OXP,7327959,23
TNEFYTEF,277799,58
ZOCR,9368558,159
GKOTQYJNEO,4092122,42
DYZS,5501678,121
UEHISPTM,9858552,21
TKYTEIW,5994584,172
WUH,104589,28
IHJJOUXVZR,5666711,18
JWYOJ,1168457,170
PTSM,7569486,151
QRAZLLIJV,1204005,32
AUYF,9224633,143
WOH,3415410,8
UVTPB,6409117,156
RNY,2971438,159
BKGT,7003355,152
ZTKKMJMQS,1882830,47
GZWRJUZCLY,4985756,179
KGFXYY,4039861,166
BQRMLAP,7249759,102
ZKH,4757604,155
HJZZ,173724,185
JJAAMWVKZ,3857903,133
QAP,9888607,88
KQIDGA,5386168,150
XWQISJ,6232085,152
YLLAGCYQF,4656246,66
UKRR,8548970,99
WDUN,516260,85
KXGFYLFESJ,8934230,74
GVV,7029878,99
UVZEUG,5644645,124
GNSLVWTR,3353112,105
FAQRDCC,174656,200
XRH,9750462,43
DILLF,2677628,131
AKHD,3632043,146
PPZPPYFH,2375516,98
UEDEMJ,3048494,60
QDAHM,1771484,151
GXX,2594739,39
TWKPDA,4060843,57
CGXB,650592,21
HLQAEEZ,4765276,17
DUCYS,2219975,119
BIOSYQUUD,2075507,26
QXCZCQFSRD,551419,142
GPZUP,7233600,34
PVD,117452,54
WSBIR,609582,118
MGA,9459910,71
COZMVOT,5548374,102
FJK,7774316,175
RES,5737752,118
TQWJQ,8631566,175
WXLJFK,3857238,189
ZNWCZQN,3311739,110
ZAX,3767730,48
LQKQW,9517604,94
RVLLOD,2290097,114
GGWZ,2165880,176
FHOYZUKB,9912280,154
KAIMEYGFBT,549389,175
HJRYHQR,3486376,67
QQGVNBFIGE,8113866,112
QAXOTTFYGT,7882925,9
AJNFZR,1219050,95
XSMCFTOFP,7155895,9
ZMQOSVOFOX,3817385,94
BRCELEFZO,2479745,18
QTT,7517805,38
TDNQZ,3697293,138
KDNJSX,3653422,134
NKDT,4850449,183
BRADML,4690755,128
UXFOCHE,3747730,109
QGHGQD,1688131,71
HCNPBPZ,4014603,105
CUJG,7605040,164
EQLFV,248582,105
INXHETLGA,3782345,145
HIGFMLVH,3957494,23
TPTQVB,1743511,49
CFKDB,5275716,109
CKJHBTRBHI,4706916,94
PIGUQKAJE,9590800,103
SFFQ,9590947,181
UFSMXA,5243667,118
AJIULECGL,428830,192
SJXSOPTYUJ,9370316,145
TWXGURPN,2842172,81
PXCDWM,294211,148
SQLKZGV,952952,114
VJCED,4845951,52
MYVS,1822232,171
SHJQRAH,5338687,71
KIMKWA,6834507,55
MCLFQLI,4736774,20
KDDMCHH,1803944,73
CHVZ,4762820,4
LLAWL,4874547,157
MLVXCGR,3971577,48
FBEXZGKL,7226246,90
LTWTIJYPQN,4351672,74
TDTYFOYE,5553300,195
NHMY,1821589,77
MMPXSI,289863,47
PGCAWYSR,5230018,130
HIQXRJIEG,5999893,87
PKPUJMLKFX,2760819,114
NLKLEJU,8920172,106
ASSXGJ,9244415,99
ZIM,7330300,68
SEHKUBICQF,1747204,5
QDBMNQZA,3199444,95
PYMDVXKVRH,7415418,34
THXWSYWR,8818545,196
PTK,1695045,51
NRHIULVGM,7737475,71
ZFHK,8169013,91
UBH,4661289,29
HPVPRZV,8822027,29
XGNJ,3614358,163
BEKIGSQZYK,7644908,65
CLVZTUGUZJ,3150518,108
SCQQZA,6469224,200
AVA,483941,137
SEFMTYYFS,6096590,61
KEAEL,2409191,51
APLULDDZJR,1360385,172
PSVDJ,5709855,45
XHBGUFQM,241349,58
WIOY,2170405,174
XHLPKBTV,2258864,184
TERQU,2242397,83
HSNPOAEGSJ,3340184,46
BKAFUSYAGF,702138,12
TKA,8199166,130
MNPOXHSEV,6074179,13
CFMIHWIBBE,5380020,96
RWIHQAUTH,6851056,42
RHNY,7119111,124
EHBZVPBCCB,6023066,145
CNV,8835109,176
PIF,1972503,60
QXQQSAVF,2394508,46
BQDEUSRL,7858474,79
QQDATFI,3127429,74
KVGASMD,5401006,181
WAY,8031161,39
BNS,7979117,28
LLFSOUUEF,7243443,182
JULLLQ,81031,125
ZDJEEYCH,5506010,160
SUPN,5998736,29
SQOFZDAV,8355112,134
CAXVHLE,2190359,170
QAOBVU,8840990,185
EZMNWFX,8216163,141
DXFCOVE,9794065,158
EMSZ,6366453,57
WSSGULWA,6491573,10
EQJYUFBG,77472,126
TEJ,5879136,128
FYETG,913278,126
OOCOCGWNB,9900554,50
MCDFZBZHJ,7907528,113
PRHRUIISG,90286,111
WARRB,7830785,165
LPCGOXFGE,4131610,112
QSYYJC,4150996,175
QXWZYIPDE,1792056,100
KFSIFQ,1092268,54
HZQF,5822076,63
FTC,6711784,190
ECMZ,9767758,1
WHXFTHN,9505659,85
AKKT,310347,124
CNPJFHUO,456682,83
QAETQFW,689165,16
KWMKACOZDJ,2384054,170
EWYGXYEE,9983386,45
MLXQ,6358443,156
EHWPE,1617267,57
EAMO,3870943,34
IITQT,2006178,199
OBZVXDUVR,7479133,42
YUFZQPZQ,1509575,40
MHW,8614204,132
YSYF,7805418,1
MFNGP,4373694,16
QYOOU,3678618,136
HPTWOPNV,4544934,153
TOUVQL,4147277,1
LBAEEO,5087472,116
UNHOEYRDI,4140247,187
DVWBXJ,3544702,41
FPEDP,8907527,74
KPGQVGR,1173305,139
AIYLAN,9993349,8
KCONESIPK,2104670,2
PGEM,7118177,135
TNMOLJTZZH,8459655,75
SRQU,5939973,1
HDOKMOYN,8797707,33
XZHEUOLQAP,3087594,131
FOYCEPGEWZ,2780379,13
HQKZ,4016869,168
EFGKI,2018132,147
TICISWCQ,6995949,49
LCRZRUBRD,7798070,94
NJZERHYE,3479784,131
BXYGO,8471012,75
HWAQPLDZI,6291429,9
KKFGWLLLQ,727846,177
PREXYZ,1541128,119
VAMBJIDKH,6602010,188
EOHODBVPP,8050112,69
HINNQTV,8962092,194
EQE,7226808,117
YPCTJYQOZ,6669007,153
HHPNRAVWQ,8402911,166
LNBDKBBZB,6347608,32
ZZA,7890303,110
ESH,2617850,134
FOOP,9777960,93
PMYJATWI,340093,59
XMFMFNJO,8087112,59
JYUI,4211791,36
QTM,881018,193
WVYJUC,129891,199
RPJGN,6143486,65
USBIYTTU,370674,31
PZQWJI,7511901,30
KAFAM,3418238,189
VEENYHGN,8470859,132
RCCLXQVCIB,7177533,91
CADIMDGBK,4754147,152
IKZZ,4928220,55
THHK,6263133,173
XXPV,8089452,147
HKURE,3799288,112
JFDG,4195298,20
WGGEJNAR,8129313,112
WMVARWLSKM,4132328,10
GIKQRKRD,6670339,67
UTSPNURP,5266202,171
UGPENJXXB,659007,54
TVZKDFOXQ,1041980,170
XZL,1289686,114
GRUHZ,1876049,81
MEJAS,7675913,73
GLMBVR,2436061,182
OPFOVRSA,6630725,72
NTVU,6263353,153
HYUPM,3113445,196
UMEZEELEMG,8913501,11
CITH,5224716,16
KRGMYXQYQ,2116570,182
XDAEAB,9078310,156
JPH,285710,68
BHFXG,1627880,26
AYFTCEQJJX,3834805,124
GJND,7426448,114
KVZQMDVM,3311353,181
LLOSTR,4878658,40
YPDWNXTVIF,4520917,185
TXIKZBEP,6029122,104
ZZQT,3275073,78
ISG,483902,141
MWEFDHMQC,6208608,20
XFOGHO,2425796,108
QSAMLYIUX,2488479,107
VYGKAEZCM,5881689,170
THKO,3951273,56
BSLVMPWHD,4397641,107
VSM,6211568,70
VVBQUVYC,451178,158
TSGYFSEYN,1222432,23
ZPF,221131,188
JSGHCAL,5329054,50
PVKH,3409390,4
BLSDJBJ,621800,116
NCAWHHZ,4309960,76
HSGFHBPQ,6196529,163
ZKTEJ,6095729,87
QLVKCZPD,1574011,70
ZHFEDOYZ,7877088,141
MQFMX,6424647,73
QNKNPNAU,7893262,47
WEYNFJDPE,4024153,189
DAOKZ,3730437,134
IYCLWGDRF,8101109,76
VNIVXBVYFZ,567706,83
QTQ,4479213,43
STNVXFPGN,2372002,71
NXP,4186561,137
IGRUVEDUT,4880456,149
AIXRAIQE,5610885,65
XKIUFJ,1061169,106
BYT,5352728,156
CAMSXX,8882702,48
KGIDL,326043,188
APGZZ,3080330,104
LIOWJILKNN,8546464,27
EGTKMN,1714887,144
CWQMOIUOB,7863023,170
WGWDFFX,3970537,96
TJCUDJK,1362516,55
WUE,1554417,6
XPCAAHWGEJ,5450260,16
VSVZQJL,6067304,1
IQVOICBCB,930169,58
RHJMFWC,3382402,54
DTOCULRLI,6193179,36
NLPXXG,1604279,97
CSAUJGQ,1257450,116
NVRSMAJ,486241,32
FABZZ,7932243,5
PPZFW,8854564,121
ARO,4300204,199
JWMYZMXCY,9347653,34
BGJK,9318191,20
RZQR,6037468,194
KQONYT,8289263,152
SGLMXWO,6368792,37
BZDRN,7398720,24
BQVHMQ,7037031,58
KNMPLDKQD,7129202,9
LSJTOSVCQ,5511339,15
IWM,3126856,137
ULZRVPT,4696085,133
HWXNHKD,2099819,53
OZBMEGMLAX,7326853,197
UGZ,9409330,147
UXGVQR,5323569,195
HANEEQURYD,8257125,178
QHVRNLG,2031580,145
JZNN,2558586,68
KSGHNGXWH,4528361,113
TYERTRVA,1261509,19
ACDW,5760600,51
SVZEFVNN,3098623,120
LCKE,677202,165
KYIZW,1884352,48
OXLQXHOCW,3337922,132
XEPSDUXR,5025973,169
GEDEDK,623288,109
BYWHMFZOEO,1301840,157
FTGEP,4546021,146
CXCR,1468906,168
RRXOPJQBK,6001246,156
TOS,7027975,122
FYG,1158638,85
CKDG,3231873,49
CEDH,1357986,93
ODQ,802179,89
IZDKRWOWAL,9780885,180
EQO,119505,101
DWQCMVKS,4936393,132
BISC,5390457,90
CEZYTZ,8445089,127
ONWT,3004630,125
YDP,383351,9
BCJAX,7310253,179
JTENMDLUW,2599084,13
NUPRIHDJQ,3213024,137
APV,9675326,125
VBAVPFZAGI,8168745,5
JKFSARMTWZ,5781020,130
MVNUEXRYOZ,157087,86
TPHQU,7449356,89
PARDD,8643447,126
NADAZEVQSP,7461818,93
RQLYD,4047893,194
AACLARKIT,4651406,8
UPYJIN,4984689,183
QEVZMITQ,6485425,121
DLU,4375622,74
LAIXKKBQDY,8930930,75
BMIE,1456908,162
LRDAUGNHHA,6839276,87
LAYYYG,2346215,96
ERYDS,742236,172
HXCDYWU,5171754,119
IUMBTQTS,6644467,193
GEVWMPM,8436957,92
CZIU,3120220,160
LZUYRWLDE,419876,87
PYXPK,2936262,89
ZXKBQXF,4914054,47
CNVLMYENU,9139603,89
ELUXQGG,1013557,24
ZPJJTEPPU,3605958,192
CPYNV,8728071,95
VHOKGMLJ,8764592,96
KNNDNYEQZ,6676686,40
PVMEZ,9195184,130
XYYWOFPT,8832028,148
SWAQAQPAI,761465,1
ZVGHTSW,2841795,101
AIOZXYMHC,6445840,105
SCMUNBW,1980318,153
XZXWMFN,5167051,83
EFCKMF,617950,41
IDDWHSQDQC,3608160,50
OWJAAYSQVA,3288326,3
QXLKMNXS,6622172,155
HFASNQQB,8070125,100
ZPNQJRT,7174526,192
RRMQKVZXC,6761713,71
YRZXAQCFF,1641374,192
PVFZEUDVGS,1947719,158
PWLVYGM,3887546,62
WWK,4169044,125
PQBGM,357892,115
TKXKOHW,6605464,80
OGYUN,6261506,164
CDB,7256557,145
UUG,5431487,79
KDQVXIHDY,4814777,49
DMKPVQHB,4523516,126
TEFWRCQDWG,9913573,2
MEPPO,2495145,104
DXAJ,6466200,121
KKUHSLIRT,8789836,70
MFHKRXM,2860488,167
ICUNSD,773367,39
SQVENJP,7358403,106
DBBUQVH,7324164,98
CXFMYIWZ,7880737,67
YROKNO,1753195,156
NVSAPCLS,9243804,71
QYFSRZA,2974973,158
CXE,1081615,152
BVTU,5326456,82
MIKNF,8229905,184
HGCWUKOA,6439981,8
HDXQNRH,1281853,130
FOOMPFZGVC,9957743,47
BZOKNW,1141936,169
CGO,4677648,143
WUVPDJENIV,3099701,37
XRVD,5564317,150
EGMYQD,8990453,60
RCSWZFU,8102521,198
SYIGL,1625505,150
GCCN,3265482,178
BSUXHKGR,7787221,37
JTYVDBJW,5608461,97
TDQUA,7730071,158
KMNFWXACWC,4691841,200
TGFQYCM,5283000,39
CKUFKY,4373437,84
TEGPHJAZ,192801,116
JXXWEDX,3330699,124
UYMVDZJYCR,2049053,75
CBPUNYKT,9574457,47
ONNYYFGI,5156949,31
APHW,6807302,181
XBOG,8162428,133
OZKVWQEQZO,8650995,80
KDWLO,6230177,146
VWJNDP,4852664,200
BALKCQCZEV,2114471,138
HMLNSUS,7333369,116
FIW,1464603,187
ALEAMZF,167590,188
MMQM,7128334,158
MPRQEHDU,2299527,18
OCDUZD,2233894,77
SEHHC,4478451,136
OCZ,9047322,89
XURS,5625419,91
XRSBRWP,1516446,176
MRQUP,8272372,39
KHZUGUJFR,5895071,96
NAVGLBJLC,2330615,27
CAU,1218725,8
VOVFHT,506198,105
MBG,6465089,82
KDIUFBY,2436210,43
KOUAHMGUGB,3385363,133
PKECCPK,7660660,197
YLQLVMES,9102432,57
WCR,8067246,21
KPOGW,3300990,74
LJB,2629161,62
BNCW,9729750,177
PPLCSKF,9233944,136
UCKVQISK,7441482,96
UUHVIUL,8035717,70
BMQQFRCXY,837099,151
RVAGOUJE,2670958,192
AEPEY,2733770,45
NVTCAHT,3382281,45
KLWCJKOJC,6074608,81
NWUUVU,6682349,182
ACLTKS,6675979,119
VQWJCNWU,6560378,177
YIA,8979342,107
HZQ,3764969,153
XDDZMHCL,3142443,134
RBWQOCJS,7173763,17
BVKJB,1966027,44
HUKZEIXYQO,252014,4
YDGOZVY,6493327,72
GYTQSBPTWI,4287604,114
CCIADAUK,8642257,127
DKUR,4550995,199
VVNMHWTJ,535993,120
BHCDGRK,9379307,119
DSZY,7016507,139
MEYTO,1889474,58
DIDWJAIRM,532811,97
LFJDLXO,4038605,57
QBEAC,2485134,185
MLWYVBKXL,9577155,200
PTOXIAF,8385085,76
WRYBBSEEZV,812821,135
ZHMVSEKB,9793086,33
OIJCCWLHKB,6380215,54
VOHRLNW,5634653,188
ZSTHAAX,6595199,26
IORWPWMWO,9525280,146
KZMJRKXLFN,397517,83
WIVKQSBLDA,4779672,143
JNEYODY,8436707,47
LBJYD,7375237,45
SRF,4506180,129
AOZ,5776822,138
YUWRQJW,7120248,51
GDAQ,5781127,122
XNTJQIQ,108236,157
KUSVL,3658818,65
EPEN,9315315,45
EOQUZRT,4426324,158
TUMLJ,1944593,31
NAQOTWUG,5423164,62
JDUUP,2556512,147
EPLJINOSWS,6445901,43
AZVFCERX,5772983,57
IJNHO,4407782,6
NVETHLLMC,6848288,8
KOWLWUPB,1248807,88
UCL,8261564,169
JWLDTKRL,4276892,180
MDKD,1487620,162
HOZCIHURMF,1770037,123
IQYPEVQH,7618293,197
MGVAZ,2396333,108
SNOV,4480675,193
RYIZR,6961738,20
CTTYQHB,1727283,116
FABAVKAEW,6251911,174
IPWVGM,5799061,127
IJU,6346211,63
DEJXK,9545314,34
SUAOGUYSCH,2560011,8
WLLULKZRBY,5012895,177
NKTVWOJBWC,9851097,107
NLNEIJHUH,6301377,92
IWI,34446,198
SYIQNTTG,1385919,179
KUQBRMWVF,8865353,177
GBQRQ,2511443,118
RUBRESPB,8942998,46
YXMSWBWF,8172341,58
DCBNIOKU,8738250,123
GONX,2310824,102
TYCOFAMRL,5000374,143
KMZBWDNV,4947372,53
BIRX,2955145,146
NLSQH,1462808,57
QXMDMIHJ,7829986,45
QVUIDXFUW,4101156,31
EZLLBOO,5019522,36
OURAIXZWL,7842123,175
GNF,8244597,8
LESVGYKFU,6837531,199
UWE,2492766,171
NTTDG,717260,126
QNKQIVGD,1501587,84
ZOL,2944190,12
BPV,2409793,149
MKGDNRBW,548614,68
MUD,2183998,25
WJQTIMWDM,2947518,50
JOCDH,6632431,168
MUFKDPNKHR,5474292,145
