0,1,2
ISVMOVMLE,96889,195
UVO,96866,125
EWD,96856,120
ZJMGNRPC,96841,194
NIRLQCJF,96818,143
GWNI,96795,44
VXPCDFZF,96789,196
VQPBTLXHLF,96774,26
XNTJAFCDM,96769,149
IFYOGGBU,96768,162
WHANTGCR,96742,62
DCJ,96718,68
ANHQDIIP,96710,112
NOBUMT,96703,49
CCI,96670,61
DBHOKYNFH,96663,128
WRHQ,96632,95
ADRHKRLD,96627,15
BGEADK,96580,52
BQZIDHLONN,96559,84
RPAHD,96543,27
HRSU,96503,84
DFXSKNZGMR,96476,191
MFW,96474,26
YQDV,96452,113
PFCTXV,96422,139
DGG,96384,39
GSRDT,96343,91
JXRONUFA,96329,127
JIJPX,96321,27
PKLSA,96314,4
OMYYPY,96295,171
WONBIFCNUO,96291,200
FRGLKENYZC,96266,200
NOXIWURL,96239,9
HKJGO,96225,104
ZJXBPNQ,96224,174
MTA,96197,188
FXXHR,96191,178
DXHOX,96178,16
JNZFTGEHZY,96168,76
JMBATLJLP,96130,103
GLOWZ,96056,45
IHU,96040,2
THA,96014,91
YEOVWG,95993,150
CBNIJG,95967,140
MKS,95945,45
LEY,95919,148
CZRRBGZS,95902,119
FOGL,95890,141
KSJI,95879,79
ZXDW,95843,194
JDU,95824,94
NBHQKFQ,95804,176
NHTZYAJDFK,95763,141
QRKNDPJI,95762,127
SOYVU,95754,93
TFCC,95737,73
BPSVIL,95720,168
XJKGPM,95700,162
JFUCPNYWSU,95594,93
TWZCAYFYI,95577,140
NWYIULLD,95567,7
MSVGTIDDS,95555,107
ACSQHSH,95555,170
XMYYWLXNZZ,95542,50
WHW,95525,139
KVUUVJBHF,95499,193
SKNGXO,95469,63
GZJQ,95451,190
VMARTRIARO,95423,7
VJA,95414,107
EFIJV,95393,99
YUHJAYRJB,95390,187
ZKAKUSLKE,95308,116
WNFVW,95299,107
OIOMOH,95268,198
KVRMYTBOPW,95263,141
FOBJM,95236,151
DYUIP,95232,64
PXFH,95210,72
EQS,95206,87
IHAAOEF,95187,15
LVBCCSQI,95164,46
EATGY,95157,100
HOLQQCHEWR,95107,51
BDPYAAE,95092,167
ORSXXADNO,95085,148
TUQTO,95080,132
ISB,95076,186
WEAPOPY,95040,187
BVFXVO,95025,56
MKQZ,94993,154
KNMESQOD,94982,31
LDEFODPARH,94974,21
GPWXPWX,94973,133
KLXMONPKYM,94942,122
GQGYDZFG,94938,24
ILPX,94900,20
XNMTTDG,94897,137
RTHKSUZQL,94892,75
QNETFV,94890,139
LFOJM,94848,154
ADR,94845,120
WOS,94801,71
ATIGEDLB,94799,144
MUZH,94773,175
RLOEE,94768,180
COOTZ,94760,98
OXCFGP,94724,37
NCFCT,94704,188
NFQVJ,94629,196
OTSPH,94611,30
JOYHTG,94606,195
QCQD,94596,99
CECJ,94580,18
RVUGQC,94572,11
BOOQJX,94558,2
XVQYBGC,94558,40
CHINNH,94551,63
KFSFPFS,94481,170
YYPSKYCQ,94465,199
JKN,94440,54
VUIASGPKY,94415,158
PCGTOPQGO,94373,109
QZPRMFKPR,94337,193
HXYKN,94335,124
PBXL,94329,32
HOJOP,94316,25
LTGSE,94278,59
UQVJ,94271,86
NKIPLRRW,94264,180
SZORXTYXF,94260,77
FQBM,94254,93
UEFIPUC,94202,120
BLK,94181,68
LOZQX,94168,15
WEZ,94155,196
BSQNQPW,94096,56
HNMUWVZYNX,94040,42
JRUV,94029,51
UCNLROXNYF,93994,94
RYRPXBT,93989,21
ZUDNVH,93972,170
RJCPK,93925,94
HMQWJ,93917,48
EKCHNDU,93906,134
WVZIGGYFMA,93902,161
IDV,93858,105
XYFW,93851,81
MJPZFXOFZ,93848,60
PEFRYWCYRC,93833,141
WHETRLQOS,93817,101
AFWNRRLW,93803,145
KVYUOV,93798,21
BSFVYLSUT,93788,171
OBACKASGE,93783,105
HOTBYDVV,93777,14
IUHCMVS,93760,152
ZKKGCQDK,93748,116
MQZWRFGZYY,93724,188
ZSHOXP,93708,152
WRZUPL,93705,159
WWL,93698,176
QKHPRVOTS,93643,114
TRUWHSKR,93630,128
MAJSX,93621,11
YRMSN,93606,179
OVGO,93603,70
DTUIVIU,93602,74
JBIOLVU,93595,21
TVRPYYCWDT,93576,157
NBIAPIGSP,93575,135
VOIPGS,93561,146
HTF,93561,131
AFDAEVYKQ,93555,146
XSVTHUQD,93532,156
WMKUWI,93529,11
ZRNDEYWDGS,93503,120
PBWNQBCTWS,93484,67
YMEIWCH,93472,195
BLMIZODVUQ,93472,83
IBQLMHHIMX,93450,8
NZMJXKXYSO,93449,177
XINTKV,93441,51
LDRAZKPZDG,93439,72
QMNZQ,93426,89
OKRGED,93399,107
EOITIQKA,93388,89
EQUVUCL,93357,47
LJUPW,93355,186
LZLHBJDF,93349,186
LQLNLHH,93325,179
OZFEKHBTX,93222,155
DZVY,93217,170
OBXXRDGOQS,93182,6
UZSACXXE,93167,58
JHVFM,93161,177
NUELNSEJZ,93158,32
SAYZJATV,93126,17
RDDPJXCXZ,93095,154
WFXDEWD,93036,35
VHVBGTD,93027,6
VQE,92996,32
DMBLB,92985,78
LBD,92952,106
OENSUCXFL,92933,5
XODQ,92924,138
DQFOMAKAOA,92914,42
VFLTVSAC,92838,76
MSOW,92820,167
JCTFKVATAW,92814,96
NEQIS,92814,68
XDDKAPM,92780,66
QHJHRJGKL,92771,4
WKX,92755,27
NEVJSNRC,92753,167
PPCRLGJZNC,92742,43
NXKMPFQN,92711,198
JZFE,92685,200
KSVXQYN,92676,105
OLOEZ,92671,191
EPSKDMMAQR,92657,23
URHVWHT,92651,32
GNSAEJ,92614,2
MQUKCD,92597,115
LUCIA,92596,32
DQEL,92585,56
NYYTY,92546,143
UNETNIH,92519,52
KBQAHKD,92504,101
GZLJIVG,92485,122
PXZXKPS,92447,81
OZDQEIQ,92434,76
HIXVIWHHWV,92422,64
WSWJUZPQ,92402,63
SWROFDY,92397,1
QISGXBI,92359,140
UBEQCAUEPG,92357,140
MRG,92347,192
UTCI,92336,162
YSKUGGXDZ,92321,179
PBDR,92304,133
OQFDRZ,92250,103
CKBKPLM,92192,61
MAQVTNSGJ,92175,7
BUXJDQE,92133,98
TJF,92115,165
QWBBC,91968,83
UXBB,91965,192
KIGSKZGGVJ,91964,188
RBELLDJI,91955,54
LPZD,91948,192
UVKXPEFCXF,91909,6
QDJHBWVUF,91860,1
BFWQH,91857,47
TTEFSSV,91821,151
LCH,91819,142
GGLBR,91768,32
DRADXPSAGV,91753,100
KOX,91717,72
GDG,91662,81
FKVK,91644,1
DCVD,91641,43
JLDBKVC,91637,178
TUC,91582,193
IEXNK,91577,174
LOIQ,91568,191
WRHIGORH,91564,138
ETHODYN,91556,169
MARX,91551,106
SND,91528,98
GZUFEFD,91492,162
RHYUTSWHXM,91470,186
NPF,91420,33
ZUCSKTOYG,91381,124
DQWBBER,91380,73
DVU,91365,123
ZCPTR,91357,38
IGMGZYTBHI,91309,116
ZSBREZFRX,91297,11
GFPSB,91294,28
YHOUSWBJI,91290,195
OMWHMGTIO,91243,110
HXTUB,91169,146
ASMQSD,91161,81
WISE,91136,6
FRTPO,91075,90
EPKSBOVXJ,91074,13
PEHYGW,91051,36
YCCZ,91036,52
JYOT,91020,76
TYELKGDMXP,91020,39
WRYDJ,90991,20
RCO,90987,37
HLZPYPF,90987,96
EQRFLEU,90962,27
WLKRQHLY,90949,141
KVIPCIGDF,90946,106
LPRZR,90907,107
IPKZSKG,90904,56
VKCRU,90892,96
PMFBU,90850,112
DTKIU,90795,74
CWCCTD,90787,176
UVVXSXX,90777,135
KCUBYK,90761,23
EYK,90750,200
BSAKKJAA,90728,85
OPBGKUPRCJ,90724,154
OVNZSDVJY,90676,130
XNGPF,90670,61
UED,90656,159
WLPXDER,90605,96
HIEI,90595,28
KHWWF,90588,119
NIZA,90581,29
XCDGJC,90575,104
YYUCIMSWS,90573,186
QVL,90568,84
VAEP,90538,131
BKUTPYOZM,90525,25
WSKAYRBQP,90510,36
ZYHNDJVE,90459,171
RPNNMIWXG,90416,148
QOSAO,90407,1
FODRFAGVCB,90401,200
AHQ,90374,2
XKIWSWUJI,90373,72
NGILTJE,90371,159
UVPMZ,90332,166
RFBXK,90293,25
GBWTUDBL,90265,150
GYS,90239,2
QOZHN,90237,9
FEY,90234,159
LVREBUL,90228,88
HNMNMKFFVJ,90217,170
DNQWM,90216,63
VEHK,90166,195
YVCLWRRE,90165,32
MGAMYT,90158,95
FOG,90113,162
UHPTJMVQD,90097,106
WBJGJVI,90090,108
IUELPR,90079,88
AAXKIZEKHO,90047,54
XMKYWM,90035,161
BGAHDLWLVQ,89996,180
PHPASWX,89956,86
AWORNTEE,89943,22
DZGK,89905,191
ENVZQE,89889,93
IFLBGEOGYE,89885,155
GCLNFVU,89883,47
PUKBZDRTKS,89839,107
EJUAJT,89825,69
WDCTVP,89824,21
YLGN,89787,53
BSQSEVNRH,89776,5
EHPDSGCKYK,89756,134
NOMFRUDGGE,89756,93
OSZ,89744,51
UIKHMKLSEV,89740,125
KGEHZMEX,89735,7
WNWBYGBYU,89725,114
VYDOJTAFF,89712,127
CDPLXYXTJG,89700,93
IZYB,89663,132
HVED,89621,48
IKMJ,89598,59
MPGBVRCYF,89593,33
UXBL,89577,80
BRNVHPJ,89575,72
SPVWUY,89573,194
UDKVFRUZ,89545,103
NQZ,89524,181
SNM,89508,50
JHMEBHEMY,89471,90
GLBWSWJNZX,89462,78
CHASSHFKM,89460,33
CAXMA,89438,128
POYV,89437,69
SIOT,89429,34
WHPBU,89411,136
ABXRHRQYH,89328,158
GHUFRIYEDQ,89310,48
PBHBIGIDCL,89300,181
ZHOVFP,89289,123
IRQDLKA,89283,121
CSOBMNOTSK,89278,142
QFZIJJM,89255,131
GOVDDNQMB,89215,146
BIC,89183,27
XRLZN,89173,185
YIQBSTDTVS,89157,53
IDAFTRNGM,89140,139
YWHQBS,89135,3
SUMKH,89099,71
UZQKT,89088,200
CHPBV,89075,53
LUOZNDBAV,89064,33
FKRG,89049,169
AZU,89044,134
IWFEASVTYO,89001,6
GUUXCD,88985,53
ZAU,88946,51
CAEQRUJSF,88912,132
GZOPPOL,88876,81
TNSNOY,88874,133
NTT,88871,160
SBMDG,88866,168
SESGUGK,88864,195
RQDQKCTJ,88864,163
JMRFDHWX,88854,43
MNVTR,88847,169
YWVJ,88712,144
BMGTQLO,88709,79
ECPFFYNM,88705,74
DNCXT,88658,116
LPKGECKUW,88656,10
UDRVGFHCCM,88634,115
PANPZQAG,88611,84
BAVWJMBQ,88529,84
YLHLUH,88487,13
REPY,88470,56
ONUPZCUFGY,88411,109
QCVH,88411,70
BMUFZW,88400,31
ASXOGDWBX,88384,78
PNWLKU,88381,78
WFCBU,88371,114
CFOKS,88341,122
XOHOCRU,88332,91
EVSSQVGY,88319,113
GPZFTAE,88313,173
PGW,88288,105
UUEYRY,88229,173
RWJCVCJ,88189,54
ONPCCP,88175,43
MYLSHYI,88172,81
JXT,88137,28
NSMBDEIS,88127,93
PPYG,88049,85
KBVQ,88041,79
WOKIGQGI,88021,161
BZVJOVINAU,88004,72
XWVVX,88002,159
PJA,87972,118
KHGCI,87924,43
WLKWFRCPQM,87906,80
MYZKTP,87883,123
QMSZWTP,87878,69
IQVZXHQRF,87871,148
VMIDX,87845,52
RHNBCF,87844,194
OUYUGZDTQ,87842,122
ENICMVWLF,87840,121
CICSHIRL,87805,19
TDRQWG,87797,146
HRQIQXSOI,87789,122
RHKQCCBS,87762,14
ZCTAPYX,87736,37
VDDGAVUJX,87659,46
OPCYZVC,87649,170
GNPGLDPV,87641,84
XOIKR,87629,36
XVD,87556,52
PNQPFUPO,87523,161
NZJK,87509,196
OKC,87486,192
YRFHW,87485,51
XLYIC,87482,135
EPK,87464,184
RXMJHJEL,87461,179
LCAMGY,87449,10
BFQOFNN,87437,157
RXLDO,87435,57
FFWQ,87426,7
IUUCE,87418,67
MLVMZMP,87399,172
ZRETADYWUV,87383,128
FWUVUB,87380,187
NTH,87378,109
VQDVER,87363,75
YOMNMQU,87352,72
FLNP,87328,133
PBJYGCN,87317,195
FEAX,87303,79
RMFUB,87263,199
OEFRSGNXUW,87223,121
RSRTKJQ,87201,52
AAVWLPBRNU,87199,185
NNPPETG,87195,84
RPKROA,87195,96
PGADSQ,87151,177
GMX,87086,64
MNASOZ,87078,39
YYNBZ,87073,93
USYXKMCUN,87053,172
BRS,87050,134
SZY,87047,158
KAYDI,87043,31
NDBRUA,87029,20
UZK,87024,73
BNNLVS,86932,130
QRYMUMD,86907,157
XBCNNZLO,86869,105
NCZGRI,86822,4
MEMPKYVCZ,86820,50
FIODEHSQV,86805,103
NAPFHA,86804,157
NEFQNGV,86760,158
YYBWOBXQY,86732,90
QGVHRAKZ,86707,99
JONRVCSHF,86696,117
NOS,86694,89
JTDVCYGBIY,86689,2
UGB,86681,161
DGXLGUZ,86664,174
AQZUN,86657,24
TRUBPQNOYH,86629,120
XTDOHDCS,86622,86
DVIVRE,86602,46
RHKMKKO,86587,200
IDCJHEUQLA,86582,137
CSKRF,86549,165
BSEJQ,86497,89
CYYUWES,86494,40
OVRZUNFUWU,86493,198
PTHBMKPY,86429,146
OYGLMBTA,86415,182
JHYRCHENN,86377,166
ZVNNYHLF,86374,170
OKGRYTIW,86368,49
RDKCVFQF,86321,11
CRS,86313,66
GNYTWHMR,86313,199
IBTZRWE,86312,29
BUFYTXZEEA,86312,26
QSGSKCTQF,86297,13
MGEUVGY,86292,52
IVYCD,86281,8
TLLLANZ,86245,113
KUIF,86236,113
SSXDFVKMIG,86232,106
HNDMRCALHU,86185,19
MAPIWIMYC,86127,47
JCEOMGGULS,86108,20
QSAYSTQUT,86088,18
PUCS,86083,103
MPU,85995,191
LWY,85954,85
FIEPS,85948,1
DWYYLWOQ,85947,116
YZDGUPBAES,85935,106
FDTLZDS,85921,179
HDDVCRNDU,85912,131
OSJK,85889,162
ULYBRKIH,85888,13
RSTXXWYJNR,85861,20
XOCGOJKI,85785,184
NLBSOAPD,85761,172
PUEHUNSAA,85752,11
LNQJDGVSTU,85713,16
MSWZDVQG,85702,113
ABDRTX,85701,91
EDDSCO,85663,30
KAT,85663,173
KBSOLQMZ,85620,30
BBADBJOU,85602,198
SKUCRFST,85590,105
GMKV,85590,14
LFWAFZRLPS,85494,71
CRPWHWW,85468,131
GARGGBH,85466,36
TDKS,85447,150
IMHDINQUOR,85434,25
RVKZSTQTZ,85423,35
DFEBOCBZUP,85409,76
SATKBESLY,85381,11
UCIHQZW,85380,118
ZFRCJNPDAK,85354,56
HUEQOE,85324,17
AZIUP,85248,159
KIAKRXF,85246,108
FYNDGQIAU,85212,18
KWQBZ,85203,93
IGPT,85184,118
ZIEZGZTQ,85144,147
DOT,85124,183
QUUWIYZK,85089,54
NOM,85065,130
CPVXG,85043,186
PDN,85037,74
EHZPJSOJCY,85030,168
QZXRPIMP,85026,106
QHIMSJUZ,84974,64
CFHSHFYF,84970,128
IKYBOQ,84963,33
ZNCNVBRW,84903,138
BJVXND,84888,48
ITC,84885,114
YGYRI,84869,197
LZTACSZBZ,84821,46
GMYMNX,84811,130
VUXWM,84803,57
IAQKKCJYR,84796,79
UJVSEQXQI,84789,144
IMWR,84734,79
EYQEM,84731,198
AZYYVY,84728,178
SXCSNDDIT,84714,43
QMMG,84711,105
LMTCIJL,84694,77
PUUQET,84672,62
SPWCYDOYFU,84657,65
VLT,84654,175
YIWVMXZMMO,84647,39
DYFMSF,84633,91
RHYGWHUCS,84600,78
APWEXQ,84568,57
LEGNOQAXT,84556,19
WMZP,84549,136
DOWWX,84547,72
XVQIGEDSLA,84533,31
EAUSVM,84508,189
JRP,84474,118
VJLJV,84470,126
JQOMXPSVTH,84468,83
DBNK,84458,29
SMPFDTSXB,84447,181
PKK,84439,73
KKL,84418,87
IBO,84389,95
YOJWJV,84383,75
IMUSUS,84375,173
TFS,84374,94
SUQIS,84355,31
VQMTAMYP,84337,85
WMHNEFZ,84308,8
VEBHLNBE,84303,83
TOADJOVFO,84302,177
MFUPNICJ,84280,182
ORX,84251,107
QKZ,84247,110
QZO,84229,95
EIRYTQDUR,84215,186
OTYBIJMZI,84160,71
OIVUA,84092,124
GWHEX,84061,71
JFGGH,84016,165
ZRIMI,84015,116
SSNDL,84007,159
GEVVIKG,83996,120
LFMQZQ,83901,79
XIJIUSD,83893,156
TUBZOESW,83879,124
PWU,83846,24
VXIHA,83841,121
VDEUATSI,83821,174
JVCH,83805,60
MDQWHCF,83801,160
EAAG,83801,99
OGH,83755,127
JRDSVD,83751,15
MBHOJWDBI,83723,146
TZRXEM,83656,147
DRDMBPHOV,83632,159
KUY,83618,91
LYKGKVFTSU,83581,115
MZKYUYDUFE,83567,89
TKOYRX,83560,153
IEDHZPRKG,83520,3
IVPWUKWKF,83516,33
PHJXP,83508,50
HTZ,83490,77
UIEQSMKFA,83479,42
ZVNFLLH,83477,90
ADOIAKEE,83438,22
HLAVM,83356,32
EJSCLLLGDW,83347,31
ABWLQMM,83263,142
ZVAZJ,83250,166
KPWEWOMS,83236,92
GORWWEXN,83105,99
NNLOEXUZJP,83097,48
GWX,83069,149
IWPLSO,83049,177
OUGBZNAEW,83026,94
JHMKDAG,83018,163
IFZEZW,83017,149
MFYRD,83011,129
BTTAKKM,82990,53
FTB,82977,143
AOLTEOQZOB,82964,39
NEJOVKEM,82960,106
ZXNV,82912,143
JFBNUHFYUH,82900,183
PQHJZVOPZC,82899,40
SRKRPNKDM,82894,66
QGSPRVWUEW,82884,50
ZBKHB,82866,29
GPGZD,82838,169
CJGBOMZT,82799,193
KGCEIMOGZ,82779,151
RIQIWO,82777,10
UHLVJNPN,82773,142
MDLSAZHJ,82772,129
CXDFRD,82767,133
AVNCDRH,82762,159
MPJ,82755,124
TWGBXGAD,82732,143
MQKHG,82719,14
EPUAOQGG,82696,126
NHM,82676,193
CPTNGGLJAY,82674,187
DRANZNWKDT,82669,8
FWC,82663,135
EPLNRGR,82651,67
LTVUTFR,82631,136
YAXPSFGK,82611,19
FBBQUGMAS,82606,56
ZJVNOSWBB,82583,32
PZTS,82572,127
IAGPLX,82554,74
AAFX,82546,122
VHBVPSIDV,82537,79
GFCPZJJHS,82524,177
YJSHKSN,82524,88
PTS,82491,145
CHOLOBAYME,82491,134
HIF,82457,67
TTKTGHCL,82425,22
XABQBRFG,82419,199
PYVKDQJBEE,82417,72
EPIMPQP,82339,121
RJI,82330,109
FYMGUTCNXS,82327,91
ZFLW,82306,7
BHTBOHB,82302,48
VZAZBCW,82246,188
YYPYAJNJVW,82233,152
DHDMUQN,82219,66
GUIKMEM,82178,110
UYZCEGS,82141,105
CZGXL,82061,54
KWOSGH,82056,86
DDNZTDDER,82054,162
EDGFS,82033,43
WJWWIOIV,82020,107
YCAC,82008,21
VHXBNFX,82002,15
IHKOJJA,81990,100
DXQFO,81954,176
ATTCQTFU,81952,52
HZOXU,81915,158
LZKHO,81905,56
LUM,81899,106
FRTGQ,81850,144
WKWUY,81831,171
FDFLOSFQ,81820,27
VGQRCIXMUY,81810,59
XDXAEUB,81787,195
VXSRJ,81786,95
NYHJXN,81751,14
JMSKPEJO,81743,83
NVTK,81738,57
PNL,81727,26
SYQKGNQWH,81706,184
TCRXGS,81677,39
PNF,81665,30
BRRV,81662,107
CWNYIO,81662,161
JAOJCLWTK,81632,113
VKX,81586,66
UCXAXVZ,81583,68
YDFOQVLXZ,81559,151
LMXGM,81548,43
TYQGZFILTS,81548,173
WBWWLO,81544,10
TSUVLTUG,81523,182
SDAJES,81514,78
ELLRBEN,81438,139
TVWYVTQ,81429,149
OPSXYMEK,81378,68
WKQWJJWZRT,81373,159
NCXKLGSUY,81349,140
RYKAAQQMCD,81347,11
MHDW,81332,131
DJNFRFQMYM,81294,140
FNWUJCEHT,81224,22
WYCG,81222,134
LCAGZYR,81211,31
CXSZRIXUAO,81154,149
SJS,81153,181
QXEA,81143,69
NMFZPBAG,81116,14
BUKHKNZOED,81105,133
FAUQMWX,81104,175
OJBHB,81099,87
SZPAO,81092,146
JXDQUTVZ,81087,182
FGCQAGQQLY,81073,54
NJEKVDHAS,81073,16
TZBJRDTRC,81064,20
GIFCJF,81041,124
EUACGDT,81039,140
SVM,81035,155
UWTFEHRA,81024,76
LLZZN,80999,198
IGYEVTHS,80967,142
WFN,80962,194
WENFE,80931,6
FUFZPOS,80924,150
FCKECNOUPU,80905,194
CAPYBCN,80897,83
JQRQH,80894,200
TMN,80882,167
KDQNAP,80862,111
HQKTXE,80849,56
DUTKY,80840,85
VSXTJ,80836,27
UMBXTF,80808,27
QLDCDGWKAG,80789,95
GZQRVTBV,80775,90
TPMFQM,80770,131
MCZ,80765,30
MPSAHTKN,80751,154
TFIOW,80726,65
KFD,80702,182
VPWZ,80697,146
MBHIUAR,80672,66
EHY,80662,29
WHLC,80656,174
AKCB,80655,83
TOBA,80638,29
UHXCQO,80583,108
XNKGIMXB,80571,88
OUJ,80560,57
BPM,80543,36
LLMYDSMLE,80524,44
WJD,80522,47
EEVUX,80518,140
JDL,80518,136
OAKUBOCDYE,80492,93
CKPXJDXVP,80460,17
IJOZKFRDJ,80404,177
GLAPQNG,80363,15
ENFJUYTOP,80351,111
KRY,80348,6
JKY,80321,49
SGRFOVYON,80223,34
UXPTY,80217,116
AKCNVGEQ,80206,132
AMYJRISR,80203,62
KPPZQVW,80203,60
CANOOX,80200,36
JPYZREGNKI,80195,89
JBDNQ,80188,187
OSPXTOBJW,80161,69
QLCKMWCAI,80126,118
LDBT,80119,47
JQYZAB,80096,137
BBPXCFO,80082,122
SDYX,80063,88
MMWN,80048,188
PNVTYC,80023,75
VTRWA,79966,99
YSOHS,79960,162
SPKQX,79930,171
PJQWF,79923,17
DWLQKXNH,79915,156
DIGIDWVI,79905,168
TARA,79873,156
HABDUBST,79817,96
ULYTRNTF,79795,7
PLQLWCXCKL,79771,10
VYXU,79767,46
UIVSFZO,79717,51
PNJBFJUBW,79674,186
KMSJPJDARF,79670,102
KJVCRAVRN,79624,19
HEIJPDOLSZ,79541,81
YCEM,79532,100
FGIJEN,79529,66
ECB,79527,168
LMQP,79517,145
UBNAZVCHF,79488,115
BPCWW,79479,51
OKCKHZHQU,79466,196
LTPUX,79459,24
GXTKSNOJP,79410,159
SOEWOHEV,79355,126
YTKSAXZJ,79330,121
AWXEWOX,79300,198
IBXBOPHK,79292,120
ZKQX,79273,185
SAR,79251,6
DKW,79234,65
OHG,79220,75
CSKOV,79198,48
SZEUENPZT,79160,171
SRFBQDKFRI,79124,111
OBYEJA,79104,127
VANLJKRPWP,79080,117
JUKU,79055,7
BUTTVHTRKI,79044,99
STQ,79014,74
QQH,78997,123
MMCBTF,78989,16
IHFYQO,78958,77
UEEVDDXG,78953,144
MZVNUFQMJU,78909,41
JVNBEQ,78896,8
JOINUYU,78890,28
VBVCRZLVCA,78883,149
ZZBHUQORVW,78882,140
SEOP,78878,175
ABIZENKV,78869,120
ATBWLQIYBW,78856,46
JVNO,78842,156
WGRR,78827,171
RGITL,78822,105
UXRVWZHFN,78804,12
NRSPMBUS,78798,165
JTQDCDT,78769,190
PESAQWN,78691,170
JYRRLFKBQ,78685,183
YDGDAV,78668,68
LPKPQ,78655,92
LHRRC,78612,99
SGNAA,78597,48
NTYOV,78529,18
ERUFZSLSER,78521,58
BWKWHPUD,78512,10
KUOKKVE,78497,147
OQKUDHEOI,78492,43
GSO,78492,85
ONYOZZC,78491,134
MLWQRVSGLN,78422,146
TRQDZFE,78413,109
UQQ,78377,6
WDZDNHWK,78355,186
XFNO,78266,35
LEGQTA,78235,35
MWD,78215,130
MSXRRJOAC,78205,145
